날짜 시간,pH (pH) (926722),pH mV (mV) (926722),ORP (mV) (926722),Actual Conductivity (μS/cm) (1041604),Specific Conductivity (μS/cm) (1041604),염도 (PSU) (1041604),저항력 (Ω?cm) (1041604),밀도 (g/cm³) (1041604),총 용존 고형물 (TDS) (ppt) (1041604),온도 (°C) (957959),압력 (psi) (956604),깊이 (m) (956604),표면 고도 (m) (956604),외부 전압 (V) (957959),대기압 (mbar) (958671),온도 (°C) (958671),위도 (°),경도 (°),표시됨
오후 2:57:46,7.2586813,-12.401539,151.105,1.6565452,2.201307,0.000171698,603666.3,0.9994948,0.001432817,12.04336,1.3965561,1.1722926,-9.210346,17.227152,991.69794,43.3065,36.57849131,128.7639275,
오후 2:57:47,7.259054,-12.422051,151.09578,1.656352,2.2010605,0.000171619,603736.5,0.9994948,0.001432778,12.043156,1.4071624,1.1797045,-9.207172,17.227654,991.6899,43.31692,36.57849131,128.7639275,
오후 2:57:48,7.2582364,-12.376961,151.0974,1.658477,2.2048867,0.000172857,602727.2,0.9994951,0.001433395,12.0428095,1.437535,1.2019295,-9.188981,17.212029,991.7026,43.38706,36.57849131,128.7639275,
오후 2:57:49,7.258336,-12.382443,151.09357,1.658525,2.2050166,0.000172899,602694.7,0.99949515,0.001433411,12.042742,1.4438047,1.206369,-9.1877365,17.211248,991.6984,43.394344,36.57849131,128.7639275,
오후 2:57:50,7.2588196,-12.4089365,151.10759,1.6580238,2.2036324,0.000172457,603094.8,0.9994953,0.001432446,12.040673,1.3822727,1.1633402,-9.231085,17.22581,991.68207,43.422062,36.57849131,128.7639275,
오후 2:57:51,7.2588277,-12.409386,151.10861,1.658046,2.2036402,0.000172459,603095,0.9994953,0.001432399,12.040531,1.3789872,1.1610675,-9.233395,17.226357,991.68146,43.425583,36.57849131,128.7639275,
오후 2:57:52,7.2588363,-12.409835,151.10962,1.6580681,2.2036483,0.000172462,603095.1,0.9994954,0.001432353,12.040389,1.3757018,1.1587948,-9.235705,17.226904,991.68085,43.4291,36.57849131,128.7639275,
오후 2:57:53,7.259235,-12.431718,151.06454,1.6580083,2.20362,0.000172457,603125.25,0.9994955,0.001432353,12.037521,1.4848518,1.355907,-9.038662,17.235254,991.7236,43.42044,36.57849131,128.7639275,
오후 2:57:54,7.2592726,-12.433801,151.06206,1.6579909,2.2035813,0.000172445,603137.8,0.99949557,0.001432328,12.037286,1.4901624,1.3672742,-9.027305,17.236166,991.7258,43.42059,36.57849131,128.7639275,
오후 2:57:55,7.2593107,-12.435883,151.05957,1.6579736,2.2035425,0.000172432,603150.4,0.99949557,0.001432303,12.037051,1.4954729,1.3786414,-9.015948,17.237078,991.72815,43.420734,36.57849131,128.7639275,
오후 2:57:56,7.2597637,-12.460744,151.04851,1.6579301,2.2035832,0.000172449,603003.06,0.99949586,0.001432768,12.035589,1.768869,1.4475573,-8.945899,17.22091,991.7198,43.40251,36.57849131,128.7639275,
오후 2:57:57,7.259802,-12.462844,151.04663,1.6579262,2.2035854,0.00017245,602994.8,0.9994959,0.001432796,12.035422,1.7884139,1.4570229,-8.936366,17.220152,991.72046,43.401203,36.57849131,128.7639275,
오후 2:57:58,7.2598534,-12.441006,151.06496,1.6580446,2.2039292,0.000172569,603101,0.9994961,0.001432607,12.033735,1.7463698,1.4226935,-8.970486,17.211853,991.73724,43.39206,36.57849131,128.7639275,
오후 2:57:59,7.2598677,-12.440212,151.06587,1.6580509,2.2039516,0.000172577,603104.5,0.99949616,0.001432605,12.03359,1.750208,1.4221473,-8.970991,17.21094,991.7381,43.391045,36.57849131,128.7639275,
오후 2:58:00,7.259882,-12.439419,151.06679,1.6580572,2.203974,0.000172585,603108.06,0.99949616,0.001432604,12.033445,1.7540462,1.4216012,-8.971497,17.210024,991.73895,43.390026,36.57849131,128.7639275,
오후 2:58:01,7.259458,-12.440946,151.07762,1.6577533,2.2036784,0.000172496,603222.3,0.99949634,0.001432401,12.029843,1.7899847,1.4486455,-8.944435,17.249899,991.76575,43.372555,36.57849131,128.7639275,
오후 2:58:02,7.2594333,-12.440453,151.07878,1.6577377,2.2036693,0.000172493,603232.3,0.9994964,0.001432384,12.029573,1.7910961,1.4494201,-8.943654,17.252148,991.7679,43.371223,36.57849131,128.7639275,
오후 2:58:03,7.2593117,-12.434539,151.09317,1.656325,2.2018404,0.000171908,603746.4,0.9994965,0.001431196,12.028637,1.8006887,1.4564779,-8.93691,17.230516,991.7432,43.336845,36.57849131,128.7639275,
오후 2:58:04,7.2592936,-12.43421,151.09436,1.6562278,2.2017171,0.000171868,603781.75,0.9994965,0.001431116,12.028488,1.8022809,1.4576163,-8.93579,17.230122,991.7423,43.33423,36.57849131,128.7639275,
오후 2:58:05,7.2592754,-12.433882,151.09554,1.6561306,2.2015936,0.000171829,603817.1,0.9994965,0.001431036,12.028339,1.8038731,1.4587548,-8.93467,17.229725,991.7414,43.331608,36.57850159,128.7639285,
오후 2:58:06,7.2594676,-12.444082,151.1102,1.6576138,2.2036257,0.000171927,603783.9,0.9994968,0.001431218,12.027285,1.8035015,1.4591389,-8.934932,17.228752,991.7492,43.305054,36.57850159,128.7639285,
오후 2:58:07,7.259476,-12.44456,151.11148,1.6576692,2.2037044,0.000171918,603795.1,0.9994969,0.001431199,12.027195,1.8037217,1.4593418,-8.934777,17.22813,991.7491,43.302517,36.57850159,128.7639285,
오후 2:58:08,7.259485,-12.445037,151.11276,1.6577245,2.2037828,0.000171909,603806.44,0.9994969,0.001431179,12.027105,1.8039417,1.4595447,-8.934622,17.227509,991.7489,43.29998,36.57850159,128.7639285,
오후 2:58:09,7.258988,-12.417545,151.11894,1.6549094,2.2002397,0.000171349,604314.6,0.99949706,0.00143004,12.02354,1.8423933,1.4861517,-8.907588,17.23604,991.70483,43.273735,36.57850159,128.7639285,
오후 2:58:10,7.2589626,-12.416135,151.11972,1.6547756,2.2000759,0.000171317,604345.06,0.9994971,0.001429974,12.023293,1.8447433,1.487795,-8.905936,17.23653,991.7024,43.27141,36.57850159,128.7639285,
오후 2:58:11,7.258988,-12.417473,151.10547,1.6571405,2.203256,0.000172359,603467.6,0.9994972,0.001432075,12.022646,1.8503426,1.4912409,-8.9019985,17.252157,991.7356,43.24521,36.57850159,128.7639285,
오후 2:58:12,7.2589774,-12.416879,151.10474,1.6572185,2.2033668,0.00017241,603425.56,0.9994972,0.001432178,12.022517,1.8516438,1.4921148,-8.901084,17.253332,991.7366,43.2429,36.57850159,128.7639285,
오후 2:58:13,7.258967,-12.416284,151.104,1.6572964,2.2034776,0.000172461,603383.56,0.9994972,0.00143228,12.0223875,1.852945,1.4929886,-8.900169,17.254505,991.73755,43.240597,36.57850159,128.7639285,
오후 2:58:14,7.259356,-12.437702,151.09535,1.6553942,2.2010362,0.000171669,604049.2,0.9994976,0.001430842,12.020823,1.868866,1.505438,-8.888976,17.222986,991.7475,43.205616,36.57850159,128.7639285,
오후 2:58:15,7.2593803,-12.43903,151.09445,1.6553389,2.200969,0.000171648,604067.1,0.9994976,0.001430808,12.020708,1.8699969,1.5062968,-8.888181,17.221478,991.74896,43.20279,36.57850159,128.7639285,
오후 2:58:16,7.259141,-12.425677,151.11026,1.6562527,2.2024186,0.000172125,603767.75,0.99949795,0.001431595,12.018495,1.8642422,1.5013026,-8.892226,17.220371,991.7577,43.16774,36.57850159,128.7639285,
오후 2:58:17,7.259135,-12.42533,151.11105,1.6562631,2.2024493,0.000172135,603765.2,0.99949795,0.001431609,12.018315,1.8642713,1.501293,-8.892206,17.21955,991.7585,43.16469,36.57850732,128.7639181,
오후 2:58:18,7.2591286,-12.424984,151.11186,1.6562736,2.2024803,0.000172146,603762.6,0.999498,0.001431623,12.018137,1.8643005,1.5012834,-8.892185,17.218725,991.7592,43.161633,36.57850732,128.7639181,
오후 2:58:19,7.259121,-12.424448,151.13947,1.6555307,2.2015874,0.000171864,604034.8,0.9994981,0.001431037,12.014433,1.856022,1.495732,-8.900021,17.219,991.7243,43.134827,36.57850732,128.7639181,
오후 2:58:20,7.259114,-12.424066,151.14162,1.6555078,2.201569,0.000171859,604044.1,0.9994982,0.001431021,12.014143,1.8553461,1.495249,-8.900623,17.219,991.72235,43.13225,36.57850732,128.7639181,
오후 2:58:21,7.259107,-12.423683,151.14377,1.6554848,2.2015505,0.000171853,604053.44,0.9994982,0.001431004,12.013853,1.85467,1.4947661,-8.901226,17.219,991.72034,43.129677,36.57850732,128.7639181,
오후 2:58:22,7.259192,-12.428273,151.1327,1.6552087,2.2011886,0.000171737,604153.4,0.9994982,0.001432098,12.013719,1.8602722,1.4994792,-8.89522,17.22708,991.7472,43.103497,36.57850732,128.7639181,
오후 2:58:23,7.2591968,-12.428534,151.13278,1.655172,2.2011425,0.000171722,604166.8,0.9994982,0.001432149,12.013608,1.8603889,1.4996153,-8.895067,17.227573,991.74786,43.101143,36.57850732,128.7639181,
